conv1/7x7_s2,data,1,7,2,64,3
conv2/3x3_reduce,pool1/norm1,1,1,1,64,0
conv2/3x3,conv2/3x3_reduce,1,3,1,192,1
inception_3a/1x1,pool2/3x3_s2_pool2/3x3_s2_0_split_0,1,1,1,64,0
inception_3a/3x3_reduce,pool2/3x3_s2_pool2/3x3_s2_0_split_1,1,1,1,96,0
inception_3a/3x3,inception_3a/3x3_reduce,1,3,1,128,1
inception_3a/5x5_reduce,pool2/3x3_s2_pool2/3x3_s2_0_split_2,1,1,1,16,0
inception_3a/5x5,inception_3a/5x5_reduce,1,5,1,32,2
inception_3a/pool_proj,inception_3a/pool,1,1,1,32,0
inception_3b/1x1,inception_3a/output_inception_3a/output_0_split_0,1,1,1,128,0
inception_3b/3x3_reduce,inception_3a/output_inception_3a/output_0_split_1,1,1,1,128,0
inception_3b/3x3,inception_3b/3x3_reduce,1,3,1,192,1
inception_3b/5x5_reduce,inception_3a/output_inception_3a/output_0_split_2,1,1,1,32,0
inception_3b/5x5,inception_3b/5x5_reduce,1,5,1,96,2
inception_3b/pool_proj,inception_3b/pool,1,1,1,64,0
inception_4a/1x1,pool3/3x3_s2_pool3/3x3_s2_0_split_0,1,1,1,192,0
inception_4a/3x3_reduce,pool3/3x3_s2_pool3/3x3_s2_0_split_1,1,1,1,96,0
inception_4a/3x3,inception_4a/3x3_reduce,1,3,1,208,1
inception_4a/5x5_reduce,pool3/3x3_s2_pool3/3x3_s2_0_split_2,1,1,1,16,0
inception_4a/5x5,inception_4a/5x5_reduce,1,5,1,48,2
inception_4a/pool_proj,inception_4a/pool,1,1,1,64,0
inception_4b/1x1,inception_4a/output_inception_4a/output_0_split_0,1,1,1,160,0
inception_4b/3x3_reduce,inception_4a/output_inception_4a/output_0_split_1,1,1,1,112,0
inception_4b/3x3,inception_4b/3x3_reduce,1,3,1,224,1
inception_4b/5x5_reduce,inception_4a/output_inception_4a/output_0_split_2,1,1,1,24,0
inception_4b/5x5,inception_4b/5x5_reduce,1,5,1,64,2
inception_4b/pool_proj,inception_4b/pool,1,1,1,64,0
inception_4c/1x1,inception_4b/output_inception_4b/output_0_split_0,1,1,1,128,0
inception_4c/3x3_reduce,inception_4b/output_inception_4b/output_0_split_1,1,1,1,128,0
inception_4c/3x3,inception_4c/3x3_reduce,1,3,1,256,1
inception_4c/5x5_reduce,inception_4b/output_inception_4b/output_0_split_2,1,1,1,24,0
inception_4c/5x5,inception_4c/5x5_reduce,1,5,1,64,2
inception_4c/pool_proj,inception_4c/pool,1,1,1,64,0
inception_4d/1x1,inception_4c/output_inception_4c/output_0_split_0,1,1,1,112,0
inception_4d/3x3_reduce,inception_4c/output_inception_4c/output_0_split_1,1,1,1,144,0
inception_4d/3x3,inception_4d/3x3_reduce,1,3,1,288,1
inception_4d/5x5_reduce,inception_4c/output_inception_4c/output_0_split_2,1,1,1,32,0
inception_4d/5x5,inception_4d/5x5_reduce,1,5,1,64,2
inception_4d/pool_proj,inception_4d/pool,1,1,1,64,0
inception_4e/1x1,inception_4d/output_inception_4d/output_0_split_0,1,1,1,256,0
inception_4e/3x3_reduce,inception_4d/output_inception_4d/output_0_split_1,1,1,1,160,0
inception_4e/3x3,inception_4e/3x3_reduce,1,3,1,320,1
inception_4e/5x5_reduce,inception_4d/output_inception_4d/output_0_split_2,1,1,1,32,0
inception_4e/5x5,inception_4e/5x5_reduce,1,5,1,128,2
inception_4e/pool_proj,inception_4e/pool,1,1,1,128,0
inception_5a/1x1,pool4/3x3_s2_pool4/3x3_s2_0_split_0,1,1,1,256,0
inception_5a/3x3_reduce,pool4/3x3_s2_pool4/3x3_s2_0_split_1,1,1,1,160,0
inception_5a/3x3,inception_5a/3x3_reduce,1,3,1,320,1
inception_5a/5x5_reduce,pool4/3x3_s2_pool4/3x3_s2_0_split_2,1,1,1,32,0
inception_5a/5x5,inception_5a/5x5_reduce,1,5,1,128,2
inception_5a/pool_proj,inception_5a/pool,1,1,1,128,0
inception_5b/1x1,inception_5a/output_inception_5a/output_0_split_0,1,1,1,384,0
inception_5b/3x3_reduce,inception_5a/output_inception_5a/output_0_split_1,1,1,1,192,0
inception_5b/3x3,inception_5b/3x3_reduce,1,3,1,384,1
inception_5b/5x5_reduce,inception_5a/output_inception_5a/output_0_split_2,1,1,1,48,0
inception_5b/5x5,inception_5b/5x5_reduce,1,5,1,128,2
inception_5b/pool_proj,inception_5b/pool,1,1,1,128,0
